sentiment,text,user
"positive","RT @UpendraRLSP: My heartfelt #tributes to #Periyar E.V. Ramasamy Ji on his Birth Anniversary today. He was a revolutionary social activist…","gauriaman19"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","TomKillinIt"
"neutral","RT @WWWpierreWWW: Ceux qui ont désormais le + de surface médiatique en France pour propager en toute impunité la peur et la haine de l'autr…","ayyacho"
"positive","just bumped into our airbnb owner and had a fun game of racist bingo!!\n\n“ooh that’s an unusual name” ✅\n“oh are you… https://t.co/R1E8TCgWkP","bb_almond"
"positive","RT @thewire_in: Dalit man killed allegedly by pregnant wife’s Vaishya family in Telangana  https://t.co/vHeO3f4klT | @kartheek777 https://t…","anilk2100"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","klvrajesh"
"neutral","Man hacked to death in 'honour killing' by 'member of wife's family because he was from lower caste' https://t.co/xMd1tUqp0F","Bettyan66167775"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","crazygirrl"
"neutral","@sriharshatumati @VamshiPandu1 @Shiva4Ntr @RaoGopalaRao_ @iambharatt And ippudu jaruguthunnavi ani oka caste ni ink… https://t.co/Mfm8dOTu2t","Pradeep59797013"
"positive","RT @PoMoGandhi: But this is not true Mr Bhagwat. @RSSorg appointees in MHRD are making sure visas are denied to foreign students who want t…","Tamizh_Muttley"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","robillardrandy1"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","praveen53893616"
"negative","RT @PoMoGandhi: My British student applied for a visa 10 months ago to study the role of caste, gender and other social networks in determi…","Tamizh_Muttley"
"positive","RT @the_hindu: “I can’t live without him, but I will, for my baby, and to fight against the caste system. No one should experience this pai…","nehaali111"
