sentiment,text,user
"neutral","RT @dharmvirjangra9: @Ramesh_BJP @narendramodi @PMOIndia @AmitShah @ktraghavan @RajKSinghIndia @nsitharamanoffc @vanitajain21 @BJP4TamilNad…","PidiBuster"
"positive","RT @Vishesh4: This is exactly how the black money too was 'swept' during demonetization. After trying hard through the available instrument…","sureshn73698201"
"negative","@Swamy39 @ArunSFan Bankers failed demonetization,and Modi Govt has not taken any action against errant bankers.","shyamvishnu"
"negative","RT @PournimaKatkar: Dear Mr. Prime Minister, How much black money has been recovered after Demonetization?-@NCPspeaks @Jayant_R_Patil @supr…","GaneshMurhe2"
"positive","@TVMohandasPai After reading their horrendous English, how can you be so sure of their evaluation? \n\nP.S. I am not… https://t.co/DUkgWmdimq","nabajatak1996"
"positive","RT @NafeesZayed: #ThugsOfHindostan is an ideal tribute to Demonetization. Incidentally it is releasing on the same day 8th Nov.","spot_boyy"
"neutral","RT @roshan_williams: @TVMohandasPai Only JOKE was the one played by #Modisarkar on the people of India. Between #demonetization #GSTimpleme…","philipose_sam"
"positive","RT @pjkumar2008: #KickEvm_BringBallot Demonetization, Rafale, Aadhar r some of the biggest scams but the general public is blissfully unawa…","shunty70"
"neutral","@GappistanRadio shows the power of leader ! demonetization , now this people are just defending him. Could be they… https://t.co/ftkbBkzj3g","DrupadShastri"
"positive","RT @pjkumar2008: #KickEvm_BringBallot Demonetization, Rafale, Aadhar r some of the biggest scams but the general public is blissfully unawa…","nilofar31"
"neutral","RT @devalgp: He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one window concepts…","AakashGauttam"
"neutral","RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…","manishupreti9"
"positive","RT @swamisaranamm: #Demonetization \n👉 Black Money:No proof available with government,how much money a single Indian has.\n👉 Scrapped old 500…","swamisaranamm"
"positive","RT @pjkumar2008: #KickEvm_BringBallot Demonetization, Rafale, Aadhar r some of the biggest scams but the general public is blissfully unawa…","creativedream16"
"neutral","RT @God_Conundrum: @dna Who will account for the 100s of people (muslims/dalits) lynched across India by your sanghi monkeys?\nAnd who will…","philipose_sam"
"neutral","RT @ShaikhNabi1: @dna Demonetization?","philipose_sam"
"positive","@ENS_ULM underlying causes-American post-Civil War inflation\n-rampant speculative investments(overwhelmingly in rai… https://t.co/Fo9jCscXKK","sunparagon"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","ngc1729"
"negative","@PMOIndia @narendramodi How do u learned Skill of Failed demonetization skim","parth_anavadia"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","sarpamedha"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","Renu_Adhana"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","Candolime"
"negative","@SaffronWatch Demonetization bomb?  Gst bomb ?? Cow lynching bomb??? Rafael bomb???? Petrol, diesel, lpg gas bomb????? .........enough","jai1976kumar"
"negative","RT @top_gun55: @RahulGandhi Incidents of lynching in India were due to anger emanating from joblessness and “destruction” of small business…","3shukla"
"neutral","@aajtak Bhakton,  aankhein khuli ki nahin ??? Bas, vote dete rehna, nahin toh yaad rakhna, demonetization time ka","ranjit_sahoo"
"neutral","@ANI loss of JOBs\n\nDemonetization &amp; NPA f**ked Indian Economy","BeVoterNotFan"
"neutral","RT @CallMeKevin1811: @LoganPaul My Neurax Worm, called Demonetization just lost the Crippling Depression scenario in Plague Inc.","snyderesque"
"neutral","RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…","sumanthjain"
"negative","Finally, the main reason behind DEMONETIZATION   is out now https://t.co/2VGUhTgAz8","rajivranjan926"
"negative","RT @tarunagra1984: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https:…","Minku49348899"
"negative","RT @tarunagra1984: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https:…","puriyash41"
"negative","RT @tarunagra1984: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https:…","Tapan_999"
"negative","-6th November 2011.\n\nIn 2016, we prophesized difficult times, for both the Birthday Boys as Shri Narendra Modi was… https://t.co/mdNrB5z0XV","sanjaybjumaani"
"negative","Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/mFtQslGkoF\n#TV9News https://t.co/tgOFFCegt0","tarunagra1984"
"negative","RT @tv9gujarati: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/jglfMu4z5L\n#TV9News https://…","tarunagra1984"
"negative","He is often called Chowkidaar, Bhaagidar, people were unhappy when Demonetization &amp; GST were brought in. He is accu… https://t.co/XImRhWkSv0","dreamkid85"
"positive","RT @gaganbakana: Who is pappu..\nOn world stage a person says 600 crore voters in india..\nMaking tea from fuel direct from gutter gas.\nChang…","SohanSi02561092"
"neutral","RT @AisiTaisiDemo: \"Mallya ko bhagaane se pahle bataaya kyon nahin?\"\n\n\"Aapne demonetization se pahle bataaya tha?\" https://t.co/VSc3kVtxFe","aswiniray"
"positive","RT @gaganbakana: Mr @arunjaitley if demonetization leaded more tax then why you are looting indians pocket by increasing everything from fu…","SohanSi02561092"
"neutral","RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \"Sri Narendra Modi Ji'' on his bday by releasing his biopi…","Debiprasd"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","FAshugains"
"neutral","How Demonetization Affected Travelers From Around The World https://t.co/etHzYKwzwu #lifehacks","gauravcam"
"neutral","RT @devalgp: He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one window concepts…","ksevak"
"neutral","RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \"Sri Narendra Modi Ji'' on his bday by releasing his biopi…","Nani77265910"
