sentiment,text,user
"neutral","Lightning Knowledge Migration Tool not generating migration summary file https://t.co/Qkt2K4a1aX","jforcesf"
"positive","Lightning Knowledge Migration Tool stalls on Activation: Migrating Feeds and Smart Links https://t.co/9YbgUwXCvp","jforcesf"
"positive","RT @IrexitFreedom: The bullying by the EU knows no borders. A country must have the right to control its own borders and migration policy.…","dollytrollpe"
"positive","RT @methusalix64: @ZDFheute Schon cool wie sich auf einmal die Umfragen zu Migration ins Positive schwenken \n\nIrgendwie habe ich das Gefühl…","AwayKlein"
"neutral","RT @10DowningStreet: PM @Theresa_May met PM @JosephMuscat_JM to discuss a range of issues including UK-Malta cooperation, migration and our…","ElizabethLorra6"
"negative","Clintons are insane anti USA traitors 2 freedom 2Constitution 2Veterans citizens GODGiven rights https://t.co/91d76veX6Y","JohnMark_IB"
"negative","RT @V_of_Europe: Hungary is the only state in Europe to have asked the people’s opinion on illegal migration - Foreign Minister https://t.c…","codyjensen11"
"positive","RT @BenMacpherson: 👇An ICM poll has shown that 64% (nearly 2/3s) of Scots back immigration devolution for Scotland.👍 This supports proposal…","Sheilam19534814"
"neutral","RT @Andreas280872: @GtzFrmming Das wirklich schlimme daran ist, das die sich den Wahnsinn noch solange einreden, bis sie ihn selbst glaubt.…","EventyrJ"
"neutral","RT @eysvog3l: \"Menschen in 🇩🇪 beurteilen das Zusammenleben mit Zuwanderern insgesamt als weiter positiv, stellt  Bauer fest. B. ist der Vor…","A_Hildering"
"negative","RT @V_of_Europe: Hungary is the only state in Europe to have asked the people’s opinion on illegal migration - Foreign Minister https://t.c…","TurboLogic_UK"
"neutral","RT @zeitonline: #Integrationsbarometer: Rund 60 Prozent der Befragten ohne Migrationshintergrund sind dafür, weiterhin #Flüchtlinge aufzune…","Mrsgugi"
"neutral","RT @ZooMass: Hobart + police= mass migration to the townhouses https://t.co/5QV1Hx9sy2","aidanbaxter23"
"positive","RT @IrexitFreedom: The bullying by the EU knows no borders. A country must have the right to control its own borders and migration policy.…","daly_june"
"neutral","RT @Dieser_Schlecky: Und Horst Seehofer dachte, die Migration sei das größte Problem. https://t.co/WEQ8S6B0Hd","CheNazihunter"
"positive","RT @Michael_Heaver: Have joined @Conservatives who should seize the tremendous opportunity that is Brexit to deliver on the enormously popu…","Ramstoorie"
"positive","RT @USFWSRefuges: With fall bird migration and autumn’s brilliant colors just around the corner, now is high time to get to know us and the…","GeraldGober"
"positive","RT @DrupalSquad: Drupal + #GitLab. Now migrating to a new tooling provider, and outlining the phases of that migration process to take plac…","dfishis1"
"negative","RT @V_of_Europe: Hungary is the only state in Europe to have asked the people’s opinion on illegal migration - Foreign Minister https://t.c…","jp78pl"
"negative","RT @owenbarder: Does your country give aid with one hand, while pursuing policies that impoverish developing countries with the other?  Fin…","Fihi_maFihi"
"neutral","RT @euronews: \"The judge has decided there will be no extradition and discarded all three charges.\" \n \nValtonyc's lawyer @Simonbekaert says…","evatrpe"
"positive","RT @FraukePetry: Fast bekommt man den Eindruck, dass so mancher Kurz scheitern sehen möchte. Wenn Staaten wie Deutschland u.a. sich einer k…","hackenstad"
"positive","RT @euronews: GLOBAL CONVERSATION | The Greek Prime Minister @tsipras_eu speaks about austerity, debt, migration and much more in a wide-ra…","t_hetoni"
