sentiment,text,user
"neutral","RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…","InvasionRemake"
"neutral","RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of ALPHA!\n\nhttps://t.co/XB6sb9aa8I\n\n#Movie #Podcast #MoviePodcast #Film #FilmPodca…","TheJQWay"
"positive","RT @SurviTeensNtots: Last night. Interviewed the fabulous and always great @jamieleecurtis the first thing she said was that she read my re…","ellisromance"
"positive","RT @TheWatchAndTalk: HEREDITARY is now available on Blu Ray &amp; DVD! Listen to our podcast review!\n\nhttps://t.co/jkFaacqRdR\n\n#Movie #Podcast…","TheJQWay"
"negative","RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of THE HAPPYTIME MURDERS, as well as our top 5 WORST Comedy films of all time!\n\nht…","TheJQWay"
"positive","RT @factory_film: WELCOME TO CURIOSITY: @CuriosityMovie now available on VOD in North America on #iTunes : https://t.co/Is1dBDNrCR. WATCH!…","diane_b12"
"neutral","RT @CCinemaPodcast: Collateral Cinema Ep 00: Takashi Miike’s Audition-Our Pilot episode, #podernfamily; listen now, then rate /review us! #…","TheJQWay"
"positive","RT @TheWatchAndTalk: ADRIFT is now available on Blu Ray &amp; DVD! Listen to our podcast review!\n\nhttps://t.co/gufSo43NGQ\n\n#Movie #Podcast #Mov…","TheJQWay"
"positive","RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of BLACKKKLANSMAN, as well as our top 5 Spike Lee Films!\n\nhttps://t.co/stZNY87KLN…","TheJQWay"
"positive","RT @TheWatchAndTalk: Listen to our podcast review of THE NUN, as well as our top 5 Movies that scared us the most!\n\nhttps://t.co/GGiwlOUdMY…","TheJQWay"
"neutral","RT @CCinemaPodcast: Our #seasonfinale is finally here! Check out our #moviereview of Riki-Oh: The Story of Ricky; subscribe, &amp; rate/Review.…","TheJQWay"
"positive","RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of BLACKKKLANSMAN, as well as our top 5 Spike Lee Films!\n\nhttps://t.co/ypcrafcVq0…","TheJQWay"
"neutral","RT @AmazingNerdShow: This week we review #TheNun &amp; talk #wwe #HellInACell! We talk the rumored Jordan Peele #Candyman movie &amp; #SpiderManPs4…","InvasionRemake"
"positive","The New 'Halloween' Channels the Original and It's Actually a Bloody Good Time https://t.co/FZjMTCGHXl","HelloHorrorLit"
"neutral","woah gilew may movie review pa pala","shttycarlo"
"positive","RT @CCinemaPodcast: Collateral Cinema Ep 08: David Lynch’s Eeaserhead-We were profoundly affected by this film; listen now, then rate/revie…","TheJQWay"
"positive","RT @CCinemaPodcast: Collateral Cinema Ep 03: Ilya Naishuller’s Hardcore Henry-This one was interesting; listen now, then rate/review us! #I…","TheJQWay"
"neutral","turning point movie review: https://t.co/bvjf7tWOGV via @YouTube","gujratartisnews"
"neutral","@anyataylorsjoy watch movie bitches review it","mulholIandr"
"positive","#REVIEW “Puzzle,” a movie about competitive puzzling, is one of a kind. Inspired by the 2009 Argentinian movie “Rom… https://t.co/KsImbj9oZe","IthacanOnline"
"positive","I liked a @YouTube video https://t.co/CyXd4lXV7P The Predator - Movie Review","chris_potter365"
"neutral","Continuing at the Twin today with showtimes at... \n\n700 and 915! #KWAwesome \n\n\"Juliet, Naked Is Everything a Mainst… https://t.co/Hy4wWRLVHU","princesscinemas"
"positive","Check out Kyle and I's review of the new Movie Searching! Critics are raving and so are we! Check it out! :) https://t.co/xGp8HMbDOY","ajvweaver7"
"positive","I liked a @YouTube video https://t.co/0wYVhTxlhR The Predator - Movie Review","gaminghero1402"
"positive","I liked a @YouTube video https://t.co/1l3Xjg8SsZ The Predator - Movie Review","gaminghero1402"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","nics525"
"neutral","@LMKMovieManiac Padathuku poi paithiyam pidithathu than unmai.Raja raja nu kuptu makkal ana engalai konnutanunga. I… https://t.co/N5NoK6s9ut","suresh61092"
"positive","Liked on YouTube: The Predator - Movie Review https://t.co/oo14LvhgAa","diegolicenciado"
"positive","RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…","525isme"
"positive","RT @GamalielPeralez: Finally finished this book, Ghost Walk by Heather Graham. I'm kind of considering doing a review on it, maybe not. Got…","GeekyBugle01"
"positive","RT @mims_words: What is there to say about the latest movie in the Predator franchise, The Predator? Well, if they were going to go the ful…","jonmcbrine"
"neutral","RT @28_otet: 前から気になってた『そして、デブノーの森へ』を見てました。『シャネルのミューズとしても知られる『NOVO/ノボ 』のアナ・ムグラリス』って書かれてるけど、本当に綺麗で大胆かつ演技が繊細で見入ってしまいました。https://t.co/SmpU1GeSb…","28_otet"
"neutral","https://t.co/x6SWuszhLm\nGuys  do catch up our review on #ShailajaReddyAlludu telugu movie on YouTube .Pls do like a… https://t.co/X0zkrTOd5E","FanaticsCinema"
"positive","I liked a @YouTube video https://t.co/HZfUNxehqM Little Dragon Maiden Kung Fu Movie Review","tevya_smolka"
"positive","I liked a @YouTube video https://t.co/ycjvAewVdI The Predator &amp; A Simple Favor - Movie Review Talk with Scott Mantz","Erik_GC82"
"positive","It has begun. But which movie am I watching first? You’ll have to find out when I share the review. 😈\n\n“Screams to… https://t.co/u3lIQtnUsm","BigBrother1988"
"positive","RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…","bernardoxford25"
"positive","I liked a @YouTube video https://t.co/ML5iLCkTYb The Predator (2018) - Movie Review (Spoiler Free)","AcEFilmsinc"
"neutral","RT @Sassy_Brit: #Review \"If you are looking for an expertly crafted mystery/thriller, pop some popcorn &amp; read this novel from cover to cove…","BWLitherland"
"neutral","RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…","eilfmovies"
"positive","RT @HatHole: New VHS Review! Silver Bullet (1985) 80s Horror Werewolf movie! https://t.co/lql6fB0Gms","Sleven324"
"positive","\"In Mistletoe captured my heart from the first page. Has this book been made into a Hallmark Christmas movie yet?\"… https://t.co/xtzsopAqq9","tammylbailey"
"positive","Review of Blockbusters New: Online Movie Rental Service https://t.co/PvgKAJ4gZN https://t.co/nIP8B3qieA","WindowOfWorld1"
"neutral","RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…","PittsburghNerd"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","jayeligoyo"
"positive","RT @RekomenByAsrul: RISE: INI KALILAH is a love letter for all Malaysians🇲🇾. Well, at least for Malaysians who voted for Pakatan Harapan in…","ec4h_"
"positive","The Amazing Spider-Man (2012) - Movie Review\n#spiderman #andrewgarfield #marcwebb #emmastone #sallyfields… https://t.co/qCVgjsk0dc","A_G_Ferguson"
"negative","RT @BusinessDayNg: Watch the movie review week for the week. It is called Seven and a Half Dates starring @mercyjohnsonokojie @solasobowale…","lindaOchugbua"
"negative","RT @imdbjourney: #NowWatching 2018 movie no.82: #setitup\n\nSeen it? Leave a #review to be read on the #podcast!\n\nPast eps:\nhttps://t.co/WcpL…","3ghosts_4ghosts"
"positive","RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…","grace_aureo"
"neutral","So @VenomMovie is out soon... what I wouldn’t give for an exasperated review of the flick by @Confused_Dude and… https://t.co/XbdXIrg6LA","mikegbell"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","pinknlov"
"positive","RT @VanityFair: Steve McQueen! Viola Davis! Gillian Flynn! All are in fine form in this propulsive, highly anticipated thriller #Widows htt…","BobbyRiversTV"
"positive","RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…","Sapphire1c3"
"positive","RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…","bibangers"
"negative","RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of THE LITTLE STRANGER\n\nhttps://t.co/GlAcgkZtiQ\n\n#Movie #Podcast #MoviePodcast #Fi…","TheJQWay"
